J0034-0721 6.6(2)
J0108-1431 10.5(9)
J0134-2937 4.0(9)
J0151-0635 14.3(7)
J0152-1637 5.2(2)
J0211-8159 22(10)
J0255-5304 2.79(7)
J0304+1932 7(1)
J0401-7608 5(2)
J0421-0345 3.12(3)
J0455-6951 18(5)
J0459-0210 2.40(3)
J0517+2212 8.4(3)
J0519-6932 13(2)
J0520-2553 3.96(5)
J0525+1115 3.2(4)
J0533+0402 3.85(4)
J0536-7543 4.8(3)
J0540-7125 2.1(1)
J0621+0336 2.10(4)
J0624-0424 2.05(1)
J0630-2834 9(3)
J0711+0931 6.2(5)
J0725-1635 5.1(5)
J0729-1836 13(12)
J0738-4042 10(3)
J0746-4529 44(16)
J0758-1528 15(4)
J0809-4753 9.7(4)
J0812-3905 16(5)
J0818-3049 2.9(6)
J0818-3232 5.8(7)
J0820-1350 4.78(1)
J0820-3921 3.4(8)
J0820-4114 19(2)
J0823+0159 4.9(7)
J0837-4135 2.8(5)
J0846-3533 2.02(2)
J0856-6137 2.8(2)
J0902-6325 5.3(1)
J0904-4246 29(3)
J0904-7459 5.2(7)
J0905-4536 28(8)
J0905-5127 4.5(7)
J0905-6019 4(1)
J0907-5157 9.6(9)
J0909-7212 6(1)
J0922+0638 13(7)
J0924-5814 6.6(9)
J0930-2301 2.6(2)
J0932-3217 3.24(4)
J0934-5249 3.8(1)
J0940-5428 4.9(5)
J0944-1354 6.5(3)
J0952-3839 7.0(4)
J0959-4809 5.8(8)
J1000-5149 66(66)
J1001-5507 9(1)
J1001-5559 4.2(1)
J1002-5919 14.4(2)
J1006-6311 2.07(3)
J1012-5857 4.4(5)
J1013-5934 2.9(3)
J1015-5719 43(25)
J1017-5621 3.2(2)
J1018-1642 2.61(3)
J1021-5601 21.1(6)
J1034-3224 7.0(3)
J1035-6345 6(2)
J1036-4926 2.9(2)
J1036-6559 17(5)
J1041-1942 4.3(2)
J1042-5521 2.5(3)
J1046-5813 17(3)
J1049-5833 2.40(3)
J1054-6452 2.22(1)
J1055-6905 2.4(2)
J1056-6258 4(1)
J1057-7914 2.19(5)
J1059-5742 5.6(2)
J1106-6438 3.25(7)
J1110-5637 9(4)
J1112-6926 2.25(3)
J1114-6100 2.7(2)
J1116-4122 3.9(6)
J1117-6154 36(14)
J1119-7936 2.2(1)
J1123-4844 9(2)
J1123-6102 11(1)
J1126-6054 2.4(1)
J1133-6250 10.4(5)
J1137-6700 9(3)
J1141-6545 3.8(3)
J1143-5536 2.7(1)
J1148-5725 2.5(3)
J1157-6224 78(54)
J1159-6409 13.5(9)
J1202-5820 2.9(8)
J1210-5559 4.3(4)
J1215-5328 6.4(6)
J1220-6318 7.6(4)
J1224-6407 120(24)
J1225-6408 19(3)
J1231-4609 13(18)
J1232-4742 19.6(2)
J1236-5033 3.9(3)
J1237-6725 2.30(6)
J1239+2453 2.8(1)
J1246+2253 5(3)
J1248-6444 2.77(2)
J1252-6314 8(1)
J1255-6131 49(22)
J1257-1027 14(4)
J1302-6350 15(7)
J1303-6305 3.30(6)
J1306-6617 40(11)
J1311-1228 3.140(7)
J1312-5402 4.5(2)
J1312-5516 2.6(3)
J1319-6105 24(8)
J1320-3512 10.6(6)
J1326-6700 30(15)
J1327-6222 2.8(4)
J1328-4357 14(5)
J1328-4921 3.5(1)
J1331-5245 6(1)
J1333-4449 9.4(4)
J1336-2522 2.16(4)
J1338-6204 20(6)
J1340-6456 9(5)
J1345-6115 11(2)
J1346-4918 4.2(3)
J1349-6130 13(4)
J1350-5115 7(1)
J1352-6803 2.55(5)
J1355-5153 4(5)
J1359-6038 3.3(3)
J1402-5021 2.58(6)
J1403-7646 4.7(4)
J1404+1159 4.9(2)
J1410-7404 4.65(7)
J1412-6111 6.2(2)
J1414-6802 10.90(4)
J1415-6621 8(2)
J1416-6037 20(9)
J1418-3921 2.53(2)
J1420-5416 4.97(9)
J1424-5556 20(5)
J1424-6438 3.6(3)
J1425-5723 2.08(7)
J1427-4158 2.37(9)
J1428-5530 5.0(9)
J1429-5935 263(139)
J1430-6623 8.5(9)
J1435-5954 9(6)
J1453-6413 11(2)
J1502-6128 2.08(1)
J1503+2111 16(2)
J1511-5414 37(17)
J1512-5431 5.6(4)
J1513-5739 17(7)
J1514-4834 38(3)
J1517-4356 2.038(3)
J1518-0627 4.0(3)
J1518-3952 3.5(2)
J1519-6106 3.2(6)
J1522-5829 20(3)
J1524-5706 2.2(1)
J1527-5552 12(9)
J1528-4109 2.7(1)
J1530-6343 2.50(4)
J1534-4428 10.55(9)
J1534-5334 3.20(8)
J1534-5405 5.6(5)
J1535-4415 10(2)
J1535-5848 15(5)
J1536-3602 51(13)
J1537-4912 56(10)
J1539-4828 2.17(4)
J1539-6322 12.77(6)
J1543-0620 3.06(2)
J1544-5308 44(10)
J1546-5302 13(15)
J1547-5750 14(1)
J1548-4821 15(2)
J1549+2113 2.58(9)
J1550-5242 10(1)
J1551-4424 11.3(7)
J1555-3134 10.5(2)
J1604-7203 6(1)
J1605-5257 16(11)
J1609-4616 4.4(2)
J1611-5209 17.0(7)
J1612+2008 5.3(3)
J1612-5805 2.78(3)
J1614+0737 5.6(7)
J1615-5444 2.8(2)
J1622-4332 2.7(1)
J1622-4347 29(5)
J1623-0908 28(31)
J1626-4537 25(28)
J1626-6621 2.109(8)
J1627+1419 32(26)
J1627-5547 33(18)
J1627-5936 9(4)
J1632-1013 3.2(2)
J1635-4944 12(15)
J1635-5954 21(24)
J1636-2614 5.5(3)
J1638-3815 11.2(5)
J1638-4344 6.3(6)
J1638-5226 10(3)
J1645+1012 5.8(3)
J1645-0317 11(3)
J1646-6831 6(2)
J1648-6044 2.7(2)
J1650-1654 2.6(1)
J1651-5222 5.8(6)
J1651-7642 7.9(7)
J1654-3710 2.34(2)
J1655-3048 12(3)
J1700-3312 2.20(6)
J1700-3919 13(1)
J1703-1846 3.9(2)
J1703-3241 6(1)
J1703-4442 30(3)
J1704-5236 2.39(5)
J1705-1906 11(1)
J1705-3423 8.1(9)
J1707-4417 15.5(3)
J1707-4729 27(17)
J1709-4429 25(13)
J1711-1509 35(6)
J1714-1054 10.4(1)
J1720+2150 3.64(5)
J1720-0212 5.8(6)
J1720-1633 20(7)
J1720-2933 2.454(3)
J1723-3659 10(1)
J1727-2739 9(1)
J1733-3716 74(55)
J1733-4005 40.2(7)
J1734-0212 2.19(1)
J1735-0724 23(6)
J1737-3555 21(10)
J1738-3211 2.36(2)
J1739+0612 12(4)
J1739-3951 4.4(3)
J1740+1311 9(2)
J1740-3015 37(39)
J1741-0840 4.6(5)
J1742-4616 7(1)
J1743-1351 11(1)
J1743-4212 16(2)
J1744-3130 21(4)
J1745-0129 2.61(4)
J1746+2245 5.5(8)
J1748-1300 7.2(4)
J1750-3157 5.9(6)
J1750-3503 49(19)
J1751-3323 18(5)
J1754-3510 13(1)
J1801-2920 2.2(1)
J1803-3329 12.1(1)
J1806+1023 3.58(2)
J1806-1154 12(11)
J1807+0756 6.2(9)
J1807-0847 3.8(5)
J1808-0813 2.4(3)
J1808-3249 28(8)
J1809-0119 3.57(5)
J1811-0154 3.9(2)
J1811-4930 2.099(7)
J1812+0226 2.13(8)
J1812-3039 2.97(3)
J1814-0521 2.4(2)
J1817-3837 2.6(1)
J1819+1305 61(14)
J1819-0925 4.6(7)
J1820-0427 3.4(3)
J1821+1715 4.9(1)
J1822+0705 2.22(4)
J1822-4209 4.0(3)
J1823+0550 3(1)
J1823-0154 10(3)
J1823-3106 167(93)
J1824-0127 26(4)
J1825-0935 56(3)
J1826-1131 2.09(1)
J1827-0750 5(1)
J1830-0131 18(3)
J1831-0823 12.1(3)
J1833-0338 11(2)
J1834-0010 37.6(7)
J1834-0426 11(3)
J1834-1202 23(3)
J1836-0436 3.3(4)
J1837+1221 7(1)
J1838+1523 7.1(4)
J1838+1650 3.3(3)
J1839-0332 2.5(1)
J1839-1238 34(6)
J1840-0809 2.18(4)
J1840-1207 4(2)
J1841+0912 51(39)
J1841-0345 27(18)
J1842+0257 2.7(4)
J1842+1332 20(8)
J1842-0359 12.1(1)
J1843+2024 10.4(5)
J1843-0000 26(13)
J1843-0211 2.28(1)
J1843-0459 2.81(5)
J1844-0433 8.1(3)
J1845+0623 2.35(8)
J1846-07492 2.7(4)
J1847-0402 12(2)
J1847-0438 5(2)
J1848+0604 2.08(2)
J1848-0123 16(3)
J1848-1150 2.7(2)
J1850+0026 9(2)
J1851-0053 3.5(3)
J1852-0635 18.2(9)
J1852-2610 3.0(2)
J1854+0319 12.4(5)
J1854-1421 9(3)
J1856-0526 13(2)
J1857+0057 3.5(3)
J1900-0933 33(3)
J1900-2600 7.7(7)
J1900-7951 2.79(5)
J1901+0124 10(10)
J1901+0156 15(2)
J1901+0511 2.24(5)
J1901+0716 105(37)
J1901-0312 17(14)
J1901-0906 3.05(1)
J1902+0556 2.3(1)
J1902+0615 47(12)
J1903+0135 3.5(4)
J1903+2225 10(3)
J1903-0848 3.9(3)
J1904+1011 19(9)
J1904-1224 10.3(3)
J1905+0616 37(9)
J1905+0709 12(8)
J1905-0056 11(4)
J1906+1854 13.7(8)
J1907-1532 16(1)
J1908+0916 24(5)
J1909+0007 15(3)
J1909+0254 29(17)
J1909+1102 12.2(5)
J1910+0714 3.27(8)
J1910+0728 5(5)
J1910-0309 22(14)
J1912+2104 2.66(8)
J1913+0936 4(1)
J1914+0219 6.2(8)
J1914+1122 6(1)
J1915+0227 9(2)
J1915+0738 37(40)
J1915+0752 25(9)
J1915+1009 4.2(4)
J1915+1647 21(5)
J1916+1030 16(1)
J1918+1444 59(14)
J1919+0134 6.6(1)
J1919+1745 6.0(5)
J1921+1419 10(1)
J1921+1948 4.4(5)
J1921+2003 8.4(2)
J1921+2153 4.3(2)
J1922+1733 10(1)
J1923+1706 14(5)
J1926+0431 2.6(5)
J1926+1434 23(4)
J1926+1648 12(4)
J1926-0652 18(1)
J1927+0911 23(5)
J1927+1852 6.3(2)
J1927+2234 5.8(9)
J1929+1955 13(5)
J1929+2121 32(7)
J1932+1059 11.3(6)
J1933+1304 4.91(8)
J1935+1159 11(3)
J1941+0121 6.2(5)
J1943+0609 5.3(4)
J1944+1755 15(2)
J1945-0040 8.5(3)
J1946+1805 19(4)
J1946+2244 2.61(8)
J1946-2913 24(3)
J1947+0915 25(2)
J1949-2524 32(6)
J1951+1123 4.8(2)
J1953+1149 3.2(9)
J2002+1637 4.5(5)
J2007+0910 21(6)
J2037+1942 2.13(4)
J2043+2740 37(14)
J2046+1540 27(10)
J2046-0421 2.74(1)
J2048-1616 3.0(1)
J2051+1248 11.5(5)
J2053-7200 3.06(8)
J2116+1414 3.7(4)
J2127-6648 4.1(2)
J2136-1606 9.4(5)
J2139+2242 2.82(3)
J2154-2812 2.3(1)
J2155-3118 14(1)
J2215+1538 5.2(3)
J2253+1516 11(2)
J2317+2149 5.3(3)
J2346-0609 2.33(9)
