Nazwa,ofsset 1,offset 1 err,ofsset 2,offset 2 err,ofsset 3,offset 3 err,ofsset 4,offset 4 err,ocena,komentarze 
J1430-6623,1.1365,0.1017,0.0034,0.0056,,,,,10,
J2139+2242,0.2527,0.0288,,,,,,,3,do sprawdzenia 
J2053-7200,1.0165,0.0904,-0.7596,0.0899,,,,,10,
J2046+1540,0.1429,0.0599,-0.0153,0.0122,,,,,7,
J2037+1942,-0.0713,0.0148,-0.0563,0.0861,,,,,7,
J1946+2244,-0.2367,0.0621,,,,,,,8,
J1933+1304,0.0793,0.0282,-0.063,0.0156,,,,,10,
J1932+2220,0.1931,0.0316,,,,,,,9,
J1932+1059,-0.7003,0.1493,0.194,0.015,-0.175,0.2005,,,10,
J1926+0431,-0.0822,0.0182,,,,,,,8,4 punkty
J1922+1733,1.9884,0.2549,-0.1349,0.0742,,,,,9,
J1921+2003,0.1034,0.0332,-1.1633,0.1491,,,,,10,
J1921+1419,-0.4312,0.104,,,,,,,10,
J1919+1745,0.3676,0.0294,-0.2079,0.0193,,,,,10,
J1919+0134,1.0362,0.1718,0.0641,0.0721,,,,,9,
J1915+1009,-0.08,0.0222,,,,,,,7,
J1915+0738,-0.0353,0.0097,,,,,,,7,
J1914+1122,-1.3432,0.1272,-1.3028,0.1175,,,,,10,do zerknięcia
J1914+0219,0.2516,0.0204,0.0798,0.0909,,,,,10,
J1912+2104,0.1076,0.0182,0.3223,0.2041,,,,,9,
J1910-0309,0.5558,0.0745,,,,,,,10,
J1910+0728,0.3721,0.063,-0.5127,0.0779,,,,,10,
J1909+1102,0.144,0.0733,-0.0534,0.0188,,,,,10,
J1909+0007,-0.0341,0.0105,,,,,,,7,
J1907+0740,0.2322,0.0714,,,,,,,6,
J1905+0616,0.0883,0.0266,,,,,,,6,
J1904-1224,-0.2421,0.0526,,,,,,,8,
J1902+0615,0.1051,0.0102,,,,,,,10,
J1901-0906,0.2051,0.0441,-0.0696,0.0262,,,,,10,
J1901+0716,-0.1174,0.1263,-0.0897,0.0273,,,,,6,redo to check?
J1900-2600,-0.6681,0.1174,-0.5483,0.0451,,,,,7,
J1854-1421,0.1914,0.0267,,,,,,,8,
J1852-0635,2.7922,0.0783,0.9785,0.0604,-0.6897,0.0369,,,9,
J1851-0029,-1.5079,0.214,,,,,,,7,p3 only
J1850-0006,-4.1179,0.4378,,,,,,,10,p3 only
J1850+0026,0.7405,0.1833,-0.0519,0.0385,,,,,8,
J1848-0123,-0.174,0.0249,,,,,,,9,
J1847-0402,-0.5286,0.0316,0.5449,0.0159,,,,,10,
J1843-0459,1.9825,0.1193,3.9606,0.3623,,,,,10,4 punkty 
