Nazwa,ofsset 1,offset 1 err,ofsset 2,offset 2 err,ofsset 3,offset 3 err,ofsset 4,offset 4 err,ocena,komentarze 
J1907+0740,0.2322,0.0714,,,,,,,6,p3 only
J1851-0029,-1.5079,0.214,,,,,,,7,p3 only
J1850-0006,-4.1179,0.4378,,,,,,,10,p3 only
J1810-5338,-0.0238,0.0505,-0.193,0.0254,-0.6887,0.0656,,,10,p3 only
J1757-2421,-1.154,0.2204,0.2668,0.0925,0.5458,0.0573,,,10,p3 only
J1746+2245,-0.2795,0.4202,0.1112,0.0294,,,,,8,p3 only
J1722-3207,0.0895,0.0113,0.0895,0.1429,,,,,9,p3 only
J1716-4111,0.7325,0.0771,,,,,,,10,p3 only
J1646-5123,-0.7667,0.1574,,,,,,,10,p3 only
J1627-5936,1.0061,0.8062,-7.3866,1.6748,,,,,10,
J1625-4048,0.0981,0.0413,-0.2046,0.1594,-0.4191,0.1269,,,10,p3 only
J1559-4438,-0.4795,0.0758,0.2798,0.0278,,,,,10,p3 only
J1557-4258,0.0061,0.0468,0.0031,0.0156,1.1567,0.1816,,,10,p3 only
J1543+0929,0.3807,0.1089,-1.7796,0.2585,,,,,10,p3 only
J1527-3931,-0.0197,0.0255,-0.2267,0.0335,,,,,9,p3 only
J1305-6455,-0.1416,0.0468,,,,,,,8,p3 only
J0837+0610,-0.077,0.0178,0.2018,0.03,,,,,10,p3 only
