J0601-0527 2.041(7)
J0629+2415 2.70(6)
J0659+1414 22(16)
J0709-5923 27(12)
J0737-2202 16(4)
J0831-4406 16(1)
J0836-4233 2.3(1)
J0837+0610 2.16(7)
J0849-6322 8(1)
J0855-3331 2.05(2)
J0901-4624 16(3)
J0924-5302 10(1)
J0942-5552 18(2)
J0943+2253 2.05(2)
J0955-5304 3.7(3)
J1001-5939 2.08(1)
J1016-5345 9(2)
J1031-6117 59(9)
J1048-5832 17(2)
J1057-5226 20(7)
J1104-6103 8.2(8)
J1121-5444 30(16)
J1123-6651 17(2)
J1130-6807 25(4)
J1141-3322 5.3(3)
J1143-5158 5(1)
J1146-6030 11(3)
J1152-6012 5.4(8)
J1204-6843 54(12)
J1240-4124 13(4)
J1243-6423 25(3)
J1245-6238 2.2(1)
J1249-6507 4.42(5)
J1305-6455 10(4)
J1306-6242 60(7)
J1324-6302 32(3)
J1326-6408 17(2)
J1339-6618 49(13)
J1356-5521 26(1)
J1401-6357 2.2(1)
J1424-5822 9(1)
J1443-5122 14(1)
J1449-5846 6.6(7)
J1527-3931 17(3)
J1531-5610 55(27)
J1539-5626 17(2)
J1542-5034 2.7(1)
J1543+0929 17(5)
J1549-5722 55(10)
J1555-0515 2.34(2)
J1557-4258 4.6(5)
J1559-4438 32(9)
J1603-2531 49(14)
J1603-3539 37(2)
J1607-0032 58(25)
J1613-4714 22(6)
J1625-4048 55(18)
J1632-4621 15(5)
J1633-4453 16(4)
J1633-5015 38(6)
J1634-5640 3.98(6)
J1646-5123 5.4(3)
J1649-4349 22(6)
J1651-1709 29(11)
J1652-1400 37(16)
J1700-4939 22(17)
J1701-3130 27(5)
J1709-3841 18(6)
J1716-4111 2.05(9)
J1717-3425 11(1)
J1720-3659 84(28)
J1722-3207 18(6)
J1739-1313 11(3)
J1744-1610 2.50(7)
J1755-2025 12(3)
J1757-2421 24(6)
J1801-0357 40(24)
J1809-1429 23(3)
J1810-5338 4.8(6)
J1812-1718 27(5)
J1816-5643 20(6)
J1818-1422 16(2)
J1820-1818 12(5)
J1825+0004 14.1(9)
J1834-0031 10(2)
J1837-0822 4.2(1)
J1839-0643 15(2)
J1841-0157 22(10)
J1842-0153 28(10)
J1842-0415 8(1)
J1844-0030 43(15)
J1845-0434 21(9)
J1846+0051 14(2)
J1846-0749 17(3)
J1849-0614 74(14)
J1849-0636 3.5(2)
J1850-0006 19(5)
J1851-0029 10.0(5)
J1853-0004 25(6)
J1901+1306 12(1)
J1907+0731 33(7)
J1907+0740 23(7)
J1907+1247 12(2)
J1909+1859 3.8(4)
J1910+0517 16(4)
J1917+1737 3.6(3)
J1926-1314 30(13)
J1931+1439 2.07(6)
J1932+2220 41(8)
J2017+2043 25(5)
J2108-3429 2.33(7)
J2111+2106 24(4)
J2307+2225 3.4(1)
J2324-6054 2.2(2)
J2330-2005 32(5)
