Nazwa,n_comp
J0034-0721,1
J0108-1431,1
J0151-0635,2
J0255-5304,1
J0421-0345,1
J0459-0210,2
J0533+0402,1
J0630-2834,1
J0711+0931,1
J0725-1635,1
J0812-3905,1
J0820-1350,1
J0823+0159,1
J0856-6137,1
J0904-7459,1
J0934-5249,1
J0952-3839,1
J0959-4809,1
J1034-3224,1
J1035-6345,1
J1036-6559,1
J1133-6250,1
J1137-6700,2
J1220-6318,1
J1232-4742,2
J1246+2253,1
J1312-5402,1
J1345-6115,2
J1404+1159,1
J1414-6802,2
J1512-5431,2
J1514-4834,2
J1519-6106,1
J1534-4428,1
J1539-6322,2
J1547-5750,1
J1555-3134,2
J1627-5936,2
J1638-3815,2
J1645+1012,1
J1651-5222,1
J1651-7642,2
J1655-3048,1
J1703-1846,1
J1703-4442,2
J1720-0212,1
J1720-2933,2
J1727-2739,2
J1741-0840,2
J1745-0129,1
J1746+2245,2
J1750-3503,1
J1807+0756,1
J1809-0119,1
J1821+1715,1
J1834-0010,1
J1842-0359,2
J1844-0433,1
J1850+0026,2
J1857+0057,1
J1900-0933,1
J1900-7951,1
J1901-0906,2
J1902+0556,1
J1903+2225,1
J1904+1011,1
J1904-1224,1
J1907+0731,1
J1910+0714,1
J1914+0219,2
J1919+0134,2
J1921+1948,1
J1921+2153,1
J1926-0652,1
J1927+0911,1
J1927+1852,1
J1944+1755,1
J1945-0040,1
J1951+1123,1
J2046+1540,2
J2053-7200,2
J2139+2242,1
J2253+1516,1
