Nazwa,ncomp,lon 1,lon 1 err,lon 2,lon 2 err,lon 3,lon 3 err,lon 4,lon 4 err,sep,sep err,dsep,dsep err
J0134-2937,2,185.0974,0.1088,190.4418,0.0178,,,,,5.3444,0.1103,-0.7521,0.1106
J0151-0635,2,169.1232,0.1079,193.3873,0.0941,,,,,24.2641,0.1432,-1.0862,0.0548
J0304+1932,2,176.2446,0.0393,183.8609,0.0284,,,,,7.6163,0.0485,-0.6223,0.0211
J0459-0210,2,179.2667,0.2283,184.3384,0.0331,,,,,5.0716,0.2307,-0.5265,0.2973
J0729-1836,2,174.5555,0.0964,181.8420,0.3229,,,,,7.2865,0.3369,-0.1035,0.0630
J0738-4042,3,170.8860,0.0655,178.5738,0.0455,186.2219,0.1130,,,15.3358,0.1307,-1.2170,0.0662
J0818-3232,2,178.5582,0.0111,181.7692,0.0208,,,,,3.2110,0.0236,-0.2976,0.0317
J0820-4114,2,150.4744,0.2813,205.0216,0.4501,,,,,54.5472,0.5308,-2.5700,0.3861
J0837+0610,2,178.4684,0.0104,183.1066,0.0276,,,,,4.6382,0.0295,0.2788,0.0349
J0907-5157,3,164.9806,0.3997,195.8738,0.0787,207.2380,0.0313,,,42.2573,0.4009,-1.6008,0.4975
J1001-5559,2,180.3444,0.1067,184.9730,0.0229,,,,,4.6285,0.1091,-0.1026,0.2140
J1001-5939,2,178.1243,0.0152,182.3636,0.0062,,,,,4.2393,0.0164,-0.4128,0.0316
J1017-5621,3,179.3226,0.1054,181.9276,0.0342,184.7456,0.0374,,,5.4231,0.1119,0.7484,0.2136
J1041-1942,3,173.9958,0.0108,176.8511,0.0455,184.3441,0.0400,,,10.3484,0.0414,-0.4850,0.0224
J1057-5226,3,88.6878,0.0116,101.7234,0.0252,109.4598,0.0162,,,20.7719,0.0199,0.0763,0.0396
J1110-5637,2,174.8803,0.0201,184.5450,0.0370,,,,,9.6647,0.0421,-0.4662,0.0506
J1112-6926,2,175.5854,0.0421,181.9209,0.0493,,,,,6.3356,0.0648,0.2699,0.0830
J1119-7936,2,178.2062,0.0227,182.5779,0.0385,,,,,4.3717,0.0447,-0.3687,0.0542
J1123-4844,2,174.9489,0.0468,184.1118,0.0497,,,,,9.1630,0.0682,-0.7791,0.0764
J1137-6700,2,159.8959,0.3730,200.0199,0.4981,,,,,40.1240,0.6223,-4.1748,0.7878
J1224-6407,2,174.3062,0.0223,179.4344,0.0338,,,,,5.1282,0.0405,0.9222,0.0457
J1236-5033,2,173.1016,0.0449,180.7402,0.1924,,,,,7.6387,0.1975,-1.2522,0.3865
J1239+2453,2,175.9779,0.0819,184.0037,0.0650,,,,,8.0258,0.1046,-0.5426,0.0872
J1245-6238,2,176.1126,0.0623,182.4002,0.0337,,,,,6.2876,0.0708,0.4188,0.1134
J1326-6700,3,169.3242,0.0575,179.3141,0.1640,192.5715,0.0725,,,23.2473,0.0925,-2.3342,0.0890
J1345-6115,2,177.9115,0.0222,183.5495,0.0229,,,,,5.6380,0.0319,-0.1346,0.0256
J1414-6802,2,178.9619,0.3158,183.6093,0.2676,,,,,4.6474,0.4140,-0.3506,0.2027
J1416-6037,2,173.1428,0.1274,183.2010,0.2887,,,,,10.0581,0.3155,-0.6620,0.3845
J1427-4158,2,179.8338,0.0351,182.6574,0.0284,,,,,2.8236,0.0452,-0.0886,0.0787
J1430-6623,2,179.6699,0.0845,183.1500,0.0089,,,,,3.4801,0.0849,-1.0738,0.1032
J1502-6128,2,174.1632,0.4077,183.0624,0.7572,,,,,8.8992,0.8600,-1.7460,0.9513
J1512-5431,2,173.6998,0.1049,186.9777,0.2145,,,,,13.2779,0.2388,-2.3764,0.3607
J1514-4834,2,179.1290,0.0675,183.4854,0.0625,,,,,4.3564,0.0920,0.1743,0.0485
J1527-3931,2,178.4580,0.0235,181.1576,0.0248,,,,,2.6996,0.0342,-0.2071,0.0421
J1527-5552,3,175.8114,0.0893,180.0353,0.0812,184.3989,0.3362,,,8.5875,0.3479,-0.8568,0.6936
J1539-6322,2,176.6110,0.1256,185.0389,0.0870,,,,,8.4279,0.1528,-1.4842,0.2138
J1543+0929,2,138.4664,0.2227,179.2609,0.2110,,,,,40.7945,0.3068,-2.1603,0.2805
J1548-4821,2,168.9901,0.0950,189.8133,0.3879,,,,,20.8231,0.3994,-4.0476,0.7389
J1555-3134,2,174.8861,0.0454,186.6576,0.0703,,,,,11.7715,0.0836,-1.1076,0.0674
J1557-4258,3,170.4419,0.0234,177.3118,0.0287,183.8872,0.0908,,,13.4453,0.0937,1.1506,0.1875
J1559-4438,2,171.1458,0.0379,183.2814,0.0286,,,,,12.1356,0.0475,0.7593,0.0808
J1609-4616,2,178.2560,0.0536,182.9145,0.0186,,,,,4.6584,0.0567,-0.3665,0.1035
J1638-3815,2,172.8193,0.1819,193.2001,0.1071,,,,,20.3808,0.2111,-0.6132,0.1602
J1650-1654,2,177.5246,0.0783,182.4703,0.1342,,,,,4.9456,0.1553,-0.0483,0.1042
J1651-7642,2,174.8033,0.0671,186.2685,0.1465,,,,,11.4652,0.1611,-1.5560,0.1340
J1703-4442,2,176.7128,0.0958,183.4449,0.0352,,,,,6.7321,0.1021,-0.6208,0.1112
J1707-4417,2,173.9470,0.0803,186.3092,0.1366,,,,,12.3622,0.1585,-0.5678,0.1591
J1714-1054,2,173.6103,0.0223,185.4686,0.0729,,,,,11.8583,0.0762,-0.9437,0.0726
J1720-2933,2,177.1398,0.5599,183.3665,0.4268,,,,,6.2267,0.7040,-0.0372,0.0745
J1722-3207,2,176.0634,0.0118,181.1723,0.1414,,,,,5.1090,0.1419,0.0001,0.1433
J1727-2739,2,171.8952,0.1108,190.4293,0.1475,,,,,18.5341,0.1845,-1.5294,0.1806
J1733-3716,2,162.3195,0.2381,201.8700,0.3261,,,,,39.5506,0.4038,-1.8270,0.1659
J1741-0840,2,180.4231,0.1359,185.8645,0.0694,,,,,5.4414,0.1526,-0.4815,0.0787
J1746+2245,2,179.4745,0.2440,185.5005,0.0257,,,,,6.0259,0.2453,0.3907,0.4212
J1757-2421,3,168.7439,0.1384,178.3864,0.0865,187.4853,0.0823,,,18.7415,0.1610,1.6374,0.2527
J1801-2920,3,172.3113,0.0211,177.8705,0.1060,187.1507,0.0410,,,14.8395,0.0461,-0.4194,0.0528
J1803-3329,2,181.4259,0.1146,185.5683,0.0600,,,,,4.1425,0.1293,-0.4405,0.2038
J1806-1154,2,175.6962,0.1066,188.1783,0.0854,,,,,12.4821,0.1366,-0.4462,0.1780
J1807-0847,3,173.8453,0.0350,181.3918,0.0289,188.4916,0.0500,,,14.6463,0.0611,0.4314,0.1221
J1808-3249,3,179.9057,0.1583,186.6631,0.0937,189.5385,0.0316,,,9.6328,0.1615,-0.0575,0.1449
J1810-5338,3,168.7765,0.0252,179.7185,0.0263,189.9288,0.0339,,,21.1523,0.0422,-0.6649,0.0827
J1811-4930,2,180.4838,0.3463,183.8110,0.0943,,,,,3.3273,0.3589,-0.7855,0.1748
J1822+0705,2,176.9887,0.1164,184.7501,0.0320,,,,,7.7614,0.1207,-0.9387,0.1694
J1823+0550,2,168.5962,0.0320,182.5362,0.0531,,,,,13.9400,0.0620,0.8437,0.1240
J1824-0127,2,177.0962,0.0162,180.0761,0.1616,,,,,2.9799,0.1625,0.9604,0.4011
J1825-0935,2,91.8279,0.1884,94.4369,0.0312,,,,,2.6090,0.1910,0.5134,0.3035
J1827-0750,3,156.4167,0.3824,176.7608,0.2093,195.5316,0.2353,,,39.1149,0.4490,-1.3835,0.7617
J1834-0426,4,140.8961,0.0959,173.2885,0.5017,216.4071,0.0944,236.7963,0.0616,95.9001,0.1140,1.3126,0.1580
J1834-1202,2,164.1467,0.0653,193.4656,0.0777,,,,,29.3188,0.1015,-0.9045,0.1751
J1840-0809,2,175.1707,0.0363,180.7403,0.0978,,,,,5.5696,0.1044,0.4405,0.1236
J1842-0359,2,160.5373,0.4144,205.7018,0.3828,,,,,45.1645,0.5641,-3.7882,0.1678
J1843-0459,2,153.4420,0.0528,170.1893,0.1638,,,,,16.7473,0.1721,2.0381,0.3442
J1847-0402,2,176.8345,0.0331,184.9171,0.0204,,,,,8.0826,0.0389,1.0735,0.0442
J1850+0026,2,171.9174,0.1663,193.5458,0.0318,,,,,21.6284,0.1693,-0.7924,0.1873
J1852-0635,3,157.8722,0.1648,186.2862,0.1716,208.3701,0.1968,,,50.4978,0.2567,-3.4820,0.1053
J1900-2600,2,180.2101,0.1590,194.0670,0.1081,,,,,13.8569,0.1923,0.1199,0.1315
J1901+0716,2,181.0579,0.1375,186.7200,0.0385,,,,,5.6621,0.1428,0.0128,0.1298
J1901-0906,2,176.7864,0.0214,184.2275,0.0176,,,,,7.4411,0.0277,-0.2857,0.0506
J1909+1102,2,176.0780,0.0387,183.8015,0.0330,,,,,7.7236,0.0509,-0.1974,0.0989
J1910+0728,2,172.7316,0.0992,184.5752,0.0585,,,,,11.8435,0.1152,-0.8848,0.1333
J1912+2104,2,174.4925,0.0098,179.9244,0.1020,,,,,5.4319,0.1025,0.2147,0.2049
J1914+0219,2,174.9737,0.0243,181.2140,0.0903,,,,,6.2403,0.0935,-0.1718,0.1441
J1914+1122,2,176.6652,0.0767,183.8453,0.0749,,,,,7.1800,0.1073,0.0404,0.2063
