Nazwa,ncomp,sep,sep err,dsep,dsep err,frac,frac err,nu_low,nu_high,zrodlo,uwaga
J0134-2937,2,5.3444,0.1103,-0.7521,0.1106,-0.14073,0.02090,1022.8,1538.4,stare,"kampania 1, przeglad reczny 2026-09-16"
J0151-0635,2,24.2641,0.1432,-1.0862,0.0548,-0.04477,0.00227,949.3,1630.5,stare,"kampania 1, przeglad reczny 2026-09-16"
J0152-1637,2,4.2363,0.1361,0.1427,0.1266,0.03369,0.02990,1022.7,1537.9,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0255-5304,2,3.9097,0.0907,0.1018,0.0182,0.02604,0.00469,1022.8,1540.3,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0304+1932,2,7.6163,0.0485,-0.6223,0.0211,-0.08171,0.00282,1023.1,1537.7,stare,"kampania 1, przeglad reczny 2026-09-16"
J0401-7608,2,7.6182,0.6315,1.2841,1.4619,0.16856,0.19240,1022.8,1538.6,przeglad,"wsad 2026-09-17, przeglad sladow mu: slady rozdzielone 20 binow stabilne"
J0421-0345,2,2.6918,0.2532,0.0863,0.1827,0.03206,0.06794,1023.2,1533.8,przeglad,"wsad 2026-09-17, przeglad sladow mu: czyste po odrzuceniu pulsu 2"
J0459-0210,2,5.0716,0.2307,-0.5265,0.2973,-0.10381,0.05881,1022.8,1535.8,stare,"kampania 1, przeglad reczny 2026-09-16"
J0517+2212,2,31.1817,0.1895,0.5031,0.3012,0.01613,0.00966,949.5,1626.4,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0520-2553,2,11.7064,0.3987,0.0357,0.5629,0.00305,0.04808,1022.6,1539.7,przeglad,"wsad 2026-09-17, przeglad sladow mu: czyste po odrzuceniu pulsu 7"
J0525+1115,2,8.3976,0.1078,-0.3206,0.1136,-0.03818,0.01354,1022.8,1538.6,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0536-7543,2,10.0044,0.2124,-0.7734,0.3438,-0.07731,0.03440,1023.6,1537.0,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0601-0527,2,9.5521,0.0560,-0.2558,0.0426,-0.02678,0.00446,1022.8,1538.2,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0624-0424,2,9.1403,0.1638,-1.4129,0.1640,-0.15458,0.01816,1022.8,1540.3,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0629+2415,2,3.8682,0.0746,0.1645,0.1466,0.04253,0.03791,949.5,1627.8,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0725-1635,2,3.9503,0.0632,0.0921,0.0837,0.02331,0.02119,1022.8,1540.4,przeglad,"wsad 2026-09-17, przeglad sladow mu: czyste po odrzuceniu 10-11"
J0729-1836,2,7.2865,0.3369,-0.1035,0.0630,-0.01420,0.00867,1022.7,1540.4,stare,"kampania 1, przeglad reczny 2026-09-16"
J0738-4042,3,15.3358,0.1307,-1.2170,0.0662,-0.07936,0.00437,1022.7,1540.5,stare,"kampania 1, przeglad reczny 2026-09-16"
J0758-1528,2,2.0568,0.2373,-0.0531,0.0646,-0.02582,0.03155,1023.1,1538.3,przeglad,"wsad 2026-09-17, przeglad sladow mu: stabilne po odrzuceniu 3 i 10"
J0818-3232,2,3.2110,0.0236,-0.2976,0.0317,-0.09268,0.00990,1023.2,1531.9,stare,"kampania 1, przeglad reczny 2026-09-16"
J0820-1350,2,3.5858,0.1281,-0.0477,0.0123,-0.01330,0.00346,1022.8,1537.0,przeglad,"wsad 2026-09-17, przeglad sladow mu: gladki dryf po odrzuceniu pierwszych 4 pulsow"
J0820-4114,2,54.5472,0.5308,-2.5700,0.3861,-0.04712,0.00709,1022.3,1539.8,stare,"kampania 1, przeglad reczny 2026-09-16"
J0837+0610,2,4.6382,0.0295,0.2788,0.0349,0.06011,0.00753,1023.1,1523.2,stare,"kampania 1, przeglad reczny 2026-09-16"
J0855-3331,2,3.4283,0.0313,0.0542,0.0377,0.01581,0.01100,1023.2,1533.1,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0902-6325,2,4.3302,0.1757,0.9024,0.7077,0.20840,0.16365,1022.7,1538.8,przeglad,"wsad 2026-09-17, przeglad sladow mu: czyste po odrzuceniu pulsu 7"
J0904-4246,2,5.7172,0.1432,-0.0335,0.0715,-0.00586,0.01251,1022.8,1521.3,przeglad,"wsad 2026-09-17, przeglad sladow mu: 28 z 29 pulsow oba pasma zgodne"
J0905-5127,2,5.0603,0.0883,0.3684,0.1589,0.07280,0.03143,1022.8,1539.8,przeglad,"wsad 2026-09-17, przeglad sladow mu: czyste 764 i 750"
J0907-5157,3,42.2573,0.4009,-1.6008,0.4975,-0.03788,0.01178,1022.6,1541.2,stare,"kampania 1, przeglad reczny 2026-09-16"
J0924-5302,2,4.4656,0.1032,-0.0709,0.0632,-0.01588,0.01416,1022.8,1515.3,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J0955-5304,2,4.9523,0.0974,0.0394,0.1226,0.00796,0.02476,1022.8,1531.7,przeglad,"wsad 2026-09-17, przeglad sladow mu: czyste po odrzuceniu pulsu 3"
J1001-5507,2,2.5871,0.0351,0.0240,0.0695,0.00928,0.02686,1022.7,1538.2,auto,"wsad 2026-09-17, przeszedl bramki automatyczne"
J1001-5559,2,4.6285,0.1091,-0.1026,0.2140,-0.02217,0.04624,1023.2,1539.3,stare,"kampania 1, przeglad reczny 2026-09-16"
J1001-5939,2,4.2393,0.0164,-0.4128,0.0316,-0.09737,0.00746,949.3,1650.4,stare,"kampania 1, przeglad reczny 2026-09-16"
J1013-5934,2,20.5301,0.0588,-0.5444,0.1119,-0.02652,0.00545,1021.7,1504.7,przeglad,"wsad 2026-09-17, przeglad sladow mu: plaskie 543 i 485"
J1017-5621,3,5.4231,0.1119,0.7484,0.2136,0.13800,0.03949,1022.5,1541.1,stare,"kampania 1, przeglad reczny 2026-09-16"
