Nazwa,n_comp,dsep_deg,sigma,grade,poszerzenie,zrobione
J0134-2937,2,-0.752,6.8,10,0,
J0151-0635,2,-1.086,20.3,7,0,
J0304+1932,2,-0.622,29.9,10,0,
J0459-0210,2,-0.527,3.3,10,0,
J0729-1836,2,0.024,0.1,9,0,
J0738-4042,3,-1.217,18.4,10,0,
J0818-3232,2,-0.297,9.4,10,0,
J0820-4114,2,-2.570,6.7,10,0,
J0837+0610,2,0.279,8.0,10,1,
J0907-5157,3,-1.718,2.8,10,0,
J1001-5559,2,-0.103,0.5,9,0,
J1001-5939,2,-0.413,13.0,10,0,
J1017-5621,3,0.747,3.8,10,1,
J1041-1942,3,-0.485,21.6,10,0,
J1057-5226,3,0.076,1.9,9,0,
J1110-5637,2,-0.466,9.2,10,0,
J1112-6926,2,0.270,3.3,8,1,
J1119-7936,2,-0.369,6.8,10,0,
J1123-4844,2,-0.779,10.2,10,0,
J1137-6700,2,-4.175,11.2,10,0,
J1224-6407,2,0.922,20.2,10,1,
J1231-4609,2,0.006,0.0,8,0,
J1232-4742,2,-4.882,4.6,10,0,
J1236-5033,2,-1.252,3.2,9,0,
J1239+2453,2,-0.543,6.2,10,0,
J1245-6238,2,0.419,3.7,10,1,
J1257-1027,2,0.784,7.1,10,1,
J1302-6350,2,-8.868,6.4,10,0,
J1306-6617,2,-2.505,17.0,10,0,
J1326-6700,3,-2.342,27.9,10,0,
J1328-4921,3,1.543,2.8,10,0,
J1345-6115,2,-0.191,8.2,10,0,
J1402-5021,3,-0.463,2.3,9,0,
J1414-6802,2,-0.358,6.6,10,0,
J1416-6037,2,-0.522,2.1,8,0,
J1427-4158,2,-0.089,1.1,10,0,
J1430-6623,2,-1.133,11.1,10,0,
J1502-6128,2,-1.095,2.0,10,0,
J1512-5431,2,-2.265,6.6,10,0,
J1514-4834,2,0.177,3.6,10,1,
J1527-3931,2,-0.207,4.9,9,0,
J1527-5552,3,0.836,6.1,10,1,
J1528-4109,3,-0.660,3.4,10,0,
J1535-4415,2,-4.904,4.2,10,0,
J1536-3602,3,-0.867,15.5,10,0,
J1539-6322,2,-1.405,5.1,10,0,
J1543+0929,2,-2.160,7.7,10,0,
J1548-4821,2,-4.047,5.5,10,0,
J1555-3134,2,-1.131,15.1,10,0,
J1557-4258,3,1.151,6.1,10,1,
J1559-4438,2,0.759,9.4,10,1,
J1609-4616,2,-0.322,4.7,10,0,
J1625-4048,3,-0.517,3.9,10,0,
J1627-5936,2,-8.393,4.5,10,0,
J1638-3815,2,-0.614,4.7,10,0,
J1650-1654,2,-0.048,0.5,7,0,
J1651-7642,2,-1.457,13.0,10,0,
J1703-4442,2,-0.621,5.6,10,0,
J1707-4417,2,-0.568,3.6,8,0,
J1714-1054,2,-2.241,1.9,5,0,
J1720-2933,2,-0.070,0.5,9,0,
J1722-3207,2,0.000,0.0,9,0,
J1727-2739,2,-1.530,8.5,10,0,
J1733-3716,2,-12.208,1.4,10,0,
J1741-0840,2,-0.477,5.3,10,0,
J1746+2245,2,0.391,0.9,8,0,
J1757-2421,3,1.700,7.5,10,1,
J1801-2920,3,-0.419,7.9,10,0,
J1803-3329,2,-0.466,7.9,10,0,
J1806-1154,2,-0.446,2.5,10,0,
J1807-0847,3,0.421,5.5,10,1,
J1808-3249,3,-0.349,3.0,10,0,
J1810-5338,3,-0.665,8.0,10,0,
J1811-4930,2,-0.785,4.5,9,0,
J1819+1305,3,0.007,0.0,9,0,
J1822+0705,2,-0.939,5.5,10,0,
J1822-4209,2,2.573,9.6,10,1,
J1823+0550,2,0.844,6.8,10,1,
J1824-0127,2,-0.310,1.1,10,0,
J1825-0935,2,-0.273,5.2,10,0,
J1827-0750,3,-1.383,1.8,8,0,
J1834-0426,4,1.365,8.2,9,1,
J1834-1202,2,-0.861,4.8,8,0,
J1840-0809,2,0.441,3.6,8,1,
J1842-0359,2,-3.736,25.7,10,0,
J1843-0459,2,1.978,5.2,10,1,
J1847-0402,2,1.074,30.3,10,1,
J1850+0026,2,-0.792,4.2,8,0,
J1852-0635,3,-3.482,40.2,9,0,
J1900-2600,2,0.120,1.0,7,0,
J1901+0716,2,0.028,0.2,6,0,
J1901-0906,2,-0.275,5.4,10,0,
J1909+1102,2,-0.197,2.6,10,0,
J1910+0728,2,-0.885,8.8,10,0,
J1912+2104,2,0.215,1.0,9,0,
J1914+0219,2,-0.172,1.8,10,0,
J1914+1122,2,0.040,0.2,10,0,
J1919+0134,2,-0.972,5.2,9,0,
J1919+1745,2,-0.576,16.4,10,0,
J1921+2003,2,-1.267,8.3,10,0,
J1922+1733,2,-2.123,8.0,9,0,
J1932+1059,3,0.525,2.1,10,0,
J1933+1304,2,-0.142,4.4,10,0,
J2037+1942,2,0.015,0.2,7,0,
J2046+1540,2,-0.158,2.6,7,0,
J2053-7200,2,-1.776,13.9,10,0,
