Nazwa,ncomp,lon 1,lon 1 err,lon 2,lon 2 err,lon 3,lon 3 err,lon 4,lon 4 err,sep,sep err
J1627-5936,2,139.7021,0.4472,200.6636,0.4472,,,,,60.9615,0.6325
J1638-3815,2,172.8193,0.1127,193.2001,0.0670,,,,,20.3808,0.1311
J1650-1654,2,177.5246,0.0598,182.4703,0.0835,,,,,4.9456,0.1027
J1651-7642,2,174.8033,0.0548,186.2685,0.0699,,,,,11.4652,0.0889
J1703-4442,2,176.8165,0.0781,183.5476,0.0354,,,,,6.7311,0.0857
J1707-4417,2,173.9470,0.0484,186.3092,0.0593,,,,,12.3622,0.0766
J1714-1054,2,173.6101,0.0051,184.8634,0.0674,,,,,11.2534,0.0676
J1720-2933,2,177.1398,0.0336,183.3665,0.0197,,,,,6.2267,0.0390
J1722-3207,2,176.0634,0.0113,181.1723,0.0526,,,,,5.1090,0.0538
J1727-2739,2,171.8662,0.0729,190.4563,0.0931,,,,,18.5900,0.1182
J1733-3716,2,162.3269,0.0558,196.6918,0.1327,,,,,34.3649,0.1440
J1741-0840,2,180.4280,0.0752,185.9030,0.0256,,,,,5.4750,0.0795
J1746+2245,2,179.4609,0.1856,185.5031,0.0246,,,,,6.0422,0.1872
J1757-2421,3,166.7871,0.1772,179.0710,0.0772,187.4685,0.0619,,,20.6813,0.1877
J1801-2920,3,172.3113,0.0161,177.8705,0.1233,187.1507,0.0503,,,14.8395,0.0528
J1803-3329,2,180.7049,0.0429,185.4290,0.0219,,,,,4.7241,0.0482
J1806-1154,2,175.6962,0.0696,188.1783,0.0497,,,,,12.4821,0.0855
J1807-0847,3,173.8453,0.0701,181.3918,0.0429,188.4916,0.1000,,,14.6463,0.1221
J1808-3249,3,178.5342,0.2425,185.4948,0.2425,189.6368,0.2425,,,11.1026,0.3430
J1810-5338,3,168.7765,0.0505,179.7185,0.0254,189.9288,0.0656,,,21.1523,0.0827
J1811-4930,2,180.4838,0.1720,183.8110,0.0202,,,,,3.3273,0.1732
J1819+1305,3,171.5428,0.2774,179.6009,0.2774,190.0439,0.2774,,,18.5010,0.3922
J1822+0705,2,176.9887,0.1546,184.7501,0.0320,,,,,7.7614,0.1579
J1824-0127,2,177.0962,0.0124,180.0761,0.1298,,,,,2.9799,0.1304
J1825-0935,2,91.8279,0.1279,94.4369,0.0232,,,,,2.6090,0.1300
J1834-0426,4,140.8961,0.1012,173.2885,0.2650,216.4071,0.1268,236.7963,0.0457,95.9001,0.1110
J1834-1202,2,164.1467,0.0824,193.4656,0.1365,,,,,29.3188,0.1595
J1840-0809,2,175.1707,0.0101,180.7403,0.1224,,,,,5.5696,0.1228
J1842-0359,2,160.5373,0.1217,205.7018,0.0523,,,,,45.1645,0.1325
J1843-0459,2,153.4420,0.1056,170.1893,0.3276,,,,,16.7473,0.3442
J1847-0402,2,176.8345,0.0316,184.9171,0.0159,,,,,8.0826,0.0353
J1850+0026,2,171.9174,0.1833,193.5458,0.0385,,,,,21.6284,0.1873
J1852-0635,3,157.8722,0.0783,186.2862,0.0604,208.3701,0.0369,,,50.4978,0.0866
J1900-2600,2,180.2101,0.1174,194.0670,0.0451,,,,,13.8569,0.1258
J1901+0716,2,179.1507,0.1137,186.6772,0.0271,,,,,7.5265,0.1168
J1901-0906,2,176.7730,0.0441,184.2415,0.0262,,,,,7.4685,0.0513
J1909+1102,2,176.0780,0.0733,183.8015,0.0188,,,,,7.7236,0.0756
J1910+0728,2,172.7316,0.0630,184.5752,0.0779,,,,,11.8435,0.1001
J1912+2104,2,174.4925,0.0182,179.9244,0.2041,,,,,5.4319,0.2049
J1914+0219,2,174.9737,0.0204,181.2140,0.0909,,,,,6.2403,0.0932
J1914+1122,2,176.6652,0.1272,183.8453,0.1175,,,,,7.1800,0.1732
J1919+0134,2,178.0793,0.1718,184.7689,0.0721,,,,,6.6896,0.1863
J1919+1745,2,176.5654,0.0294,185.8267,0.0193,,,,,9.2613,0.0352
J1921+2003,2,172.8894,0.0332,186.4220,0.1491,,,,,13.5325,0.1527
J1922+1733,2,177.5856,0.2028,185.0605,0.0544,,,,,7.4749,0.2100
J1932+1059,3,254.9482,0.5434,257.6658,0.1293,259.4774,0.0623,,,4.5292,0.5470
J1933+1304,2,176.8753,0.0282,185.2867,0.0156,,,,,8.4113,0.0322
J2037+1942,2,176.1075,0.0148,179.2321,0.0861,,,,,3.1246,0.0874
J2046+1540,2,176.8400,0.0599,184.4456,0.0122,,,,,7.6056,0.0611
J2053-7200,2,170.9733,0.0904,186.2157,0.0899,,,,,15.2424,0.1274
